retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x00461c40	0x00461c50	CFEPLoadGame__Init	load-page state initializer	FEPLoadGame.cpp:12-27; retail body	25	7	0	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Clears page motion and initializes the selected save slot to -1; frontend object layout beyond touched fields remains open
0x00461c60	0x00461c70	CFEPLoadGame__ButtonPressed	load-page navigation and accept/back dispatcher	FEPLoadGame.cpp:29-71; retail button switch	197	57	11	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Handles released IDs 0x2a/0x2b/0x36/0x37/0x2c/0x2e, clamps motion to 0..255, and dispatches UI sounds; physical-device mapping is owned elsewhere
0x00461d60	0x00461d70	CFEPLoadGame__Process	load-page storage poll and load trigger	FEPLoadGame.cpp:73-91; retail body	48	18	8	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Returns for inactive state, polls the PC storage adapter otherwise, and attempts the selected load only while active and no message box is held
0x00461d90	0x00461da0	CFEPLoadGame__Render	load-page title and help renderer	FEPLoadGame.cpp:93-126; retail body	139	44	21	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Renders localized load token 0x0d and shared help prompt 4 using the released transition curve; pixel parity is not claimed
0x00461e20	0x00461e30	CFEPLoadGame__DoLoad	PC save-file reader and career loader	FEPLoadGame.cpp:128-230 StartLoad; retail PC body	668	211	119	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Copies the selected wide name, validates storage, reads one exact-size .bes buffer through PCPlatform, calls CCareer::Load with flag 1, handles success/version/removal failures, optionally writes defaultoptions, and always frees the buffer
0x00464620	0x00464630	CFEPSaveGame__Init	save-page state initializer	FEPSaveGame.cpp:14-26; retail body	14	5	0	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Clears page motion and the save-name head; remaining frontend state is initialized by its owners
0x00464630	0x00464640	CFEPSaveGame__ButtonPressed	save-page navigation and accept/back dispatcher	FEPSaveGame.cpp:28-71; retail button switch	197	57	12	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Shares the load-page button law, 0..255 clamp, and move/select/back sound dispatch
0x00464730	0x00464740	CFEPSaveGame__Process	save-page create/overwrite/delete and recovery controller	FEPSaveGame.cpp:73-174; retail PC body	839	228	152	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Creates a save when active and unobstructed, consumes overwrite question 3 and recovery question 9, deletes the selected existing save when confirmed, and routes storage-removal/format dialogs
0x00464a80	0x00464ab0	CFEPSaveGame__Render	save-page title and help renderer	FEPSaveGame.cpp:176-205; retail body	139	44	18	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Renders localized save token 0x11 and shared help prompt 4 using the same released transition curve; pixel parity is not claimed
0x00464b30	0x00464b60	CFEPSaveGame__RemovedMUWhinge	storage-removal message helper	FEPSaveGame.cpp:207-234; retail PC body	134	33	18	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Copies the supplied localized reason, opens the fixed 320x240 width-400 dialog, and clears dialog state; it performs no storage query itself
0x00464bc0	0x00464bf0	CFEPSaveGame__AskIfYouWantToDelete	PC capacity-recovery question builder	FEPSaveGame.cpp:236-302; retail PC body	142	42	10	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Uses only because_4096 to select token 0x9e or 0xa0 and opens question 4; career_in_progress and no_space_for_bea are unused in the released PC body
0x00464c50	0x00464c80	CFEPSaveGame__CreateSave	PC save-file enumeration serialization and write transaction	FEPSaveGame.cpp:304-543; retail PC body	2111	656	305	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Validates storage/capacity and the 4095-save cap, compares names case-insensitively, prompts before overwrite, serializes exact CCareer size, writes through PCPlatform, cleans partial failures, and commits frontend/autosave state on success
0x00465490	0x004654c0	IsCheatActive	CFEPSaveGame released save-name cheat gate	FEPSaveGame.cpp:545-573; retail encrypted table and callers	155	55	15	0	STATIC_SEMANTIC_SOURCE_DEMO_TWIN	Dev/all-cheats flags bypass the test; otherwise XOR-decodes one 256-byte row with HELP ME!! and performs a byte-substring search in the current save name; six released rows and caller meanings are separately enumerated
0x005d04ec	0x005d0bec	CFEPSaveGame__WideStrCaseInsensitiveCompare	case-insensitive wide save-name comparator	retail body; CFEPSaveGame::CreateSave caller	223	84	13	0	STATIC_SEMANTIC_DEMO_TWIN	Compares wide names with an ASCII A-Z fast fold and a locale-backed fallback; this deliberately differs from the retained source wcscmp
0x005d0a2a	0x005d112a	CFEPSaveGame__WideCharToLowerCompat	locale-compatible wide-character lowercase helper	retail body; compare helper caller	117	47	4	0	STATIC_SEMANTIC_DEMO_TWIN	Folds ASCII capitals directly and otherwise uses the released classification/LCMapStringW path under locale lock index 0x13
