source_file	source_line	function	signature	source_owner	target_branch	source_algorithm	source_fields	source_constants	source_side_effects	retail_classification	retail_va	retail_name	retail_evidence	retail_falsifier	rebuild_disposition
Music.h	32	CMusicMenu::GetName	GetName(char *name)	CMusicMenu	ALL_TARGETS_SHARED_HEADER	Copy the menu label into the caller-provided buffer.	name output buffer	"Music"	Overwrites the caller buffer through strcpy.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	A uniquely owned CMusicMenu GetName body or vtable target whose body copies the literal Music.	Do not add a debug-menu owner to the current Level100 path; retain only if a generalized developer console is implemented.
Music.h	34	CMusicMenu::GetShowSubmenus	GetShowSubmenus()	CMusicMenu	ALL_TARGETS_SHARED_HEADER	Return true unconditionally.	None	true	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	A uniquely owned CMusicMenu virtual target with the matching no-argument constant-return ABI.	No current rebuild owner; port only with the source debug-menu surface.
Music.h	68	CMusic::GetVolume	GetVolume()	CMusic	ALL_TARGETS_SHARED_HEADER	Convert the configured integer music volume to a normalized float by dividing by 127.0f.	mSetVolume	127.0f	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/cmusic-shared-semantics-2026-08-11.tsv	An emitted accessor or inlined caller proving the exact mSetVolume-to-float conversion for this source identity.	When the music policy is generalized, preserve the integer 0..127 state; do not reuse the current tangent option curve for released PC behavior.
Music.h	69	CMusic::GetCurrentVolume	GetCurrentVolume()	CMusic	ALL_TARGETS_SHARED_HEADER	Return the current device-facing fade volume.	mVolume	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/cmusic-shared-semantics-2026-08-11.tsv	An emitted accessor or inlined caller proving that retail returns the +0x34 current-volume field for this identity.	Current Level100Audio has one music player but no integer current/target fade state; add only as part of a coherent CMusic policy slice.
Music.h	78	CMusic::DeviceWarnOfStop	DeviceWarnOfStop()	CMusic	ALL_TARGETS_SHARED_HEADER	No-op notification hook.	None	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/cpcmusic-vtable-semantics-2026-08-11.tsv	A selected CMusic/CPCMusic slot or call edge proving this no-op hook exists in the released PC interface.	No direct port; retain as an optional adapter seam only if a device backend needs pre-stop notification.
Music.h	102	CMusic::DeviceUpdateStatus	DeviceUpdateStatus()	CMusic	ALL_TARGETS_SHARED_HEADER	Default virtual no-op update hook.	None	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/cpcmusic-vtable-semantics-2026-08-11.md:59-60;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	A unique body/VA assignment for CPCMusic vtable slot 8 rather than the current shared 228-placement no-op observation.	Current Godot stream completion needs no empty virtual; preserve the semantic no-op without inventing a reusable backend class.
pcsoundmanager.h	58	CPCSoundManager::LoadSampleFromBuffer	*LoadSampleFromBuffer(CMEMBUFFER *mb,BOOL music)	CPCSoundManager	PC_ONLY	Assert that the path is unimplemented, then return NULL.	mb input;music input	SASSERT(0,"LoadSampleFromBuffer() is not implemented");NULL	May fire a debug assertion; never produces a sample.	SOURCE_EXACT	0x00517290	CPCSoundManager__LoadSampleFromBuffer_StubFail	reverse-engineering/binary-analysis/cpcsoundmanager-backend-semantics-2026-08-11.tsv:7	A pristine-body or ABI contradiction to the five-byte two-argument null-returning stub.	Do not route production materialization through this stub; the current adapter correctly consumes predecoded, hash-verified assets.
pcsoundmanager.h	75	CPCSoundManager::GetAvailableChannels	GetAvailableChannels()	CPCSoundManager	PC_ONLY	Return the compile-time sound-buffer count.	None	MAX_SOUND_BUFFERS=32	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/cpcsoundmanager-backend-semantics-2026-08-11.md:41-59;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An exact emitted accessor/call-site projection that resolves whether the released PC function returned 32, 64, or the capability-derived active voice count.	A future generic arbitration owner must use the released 64-slot/capability-derived contract, not copy the retained constant 32.
SoundManager.h	53	CEffect::~dtor	~CEffect()	CEffect	ALL_TARGETS_SHARED_HEADER	Delete the chained effect, then walk the global effect list and unlink this node from either the head or its predecessor.	mChainedEffect;mNextEffect;static mFirstEffect	NULL	Recursively deletes the chained effect and mutates the global effect-list links.	SOURCE_ANALOG	0x004e0820	CEffect__scalar_deleting_dtor	reverse-engineering/binary-analysis/ghidra-fullpass-findings/W007/adversarial/B05.md:56-63	A separately bounded non-deleting CEffect destructor body or proof that the scalar wrapper is the only emitted body for this source destructor.	Current catalog recipes are immutable values and need no linked effect destructor; preserve unlink semantics only if runtime SFX parsing is generalized.
SoundManager.h	164	CSoundManagerDebugMenu::GetName	GetName(char *name)	CSoundManagerDebugMenu	ALL_TARGETS_SHARED_HEADER	Copy the debug-menu label into the caller-provided buffer.	name output buffer	"Sound manager"	Overwrites the caller buffer through strcpy.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	A uniquely owned debug-menu body or vtable target copying the literal Sound manager.	No current rebuild owner; do not add a debug menu as part of Level100 audio parity.
SoundManager.h	166	CSoundManagerDebugMenu::GetShowSubmenus	GetShowSubmenus()	CSoundManagerDebugMenu	ALL_TARGETS_SHARED_HEADER	Return true unconditionally.	None	true	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	A uniquely owned debug-menu virtual target with the matching no-argument constant-return ABI.	No current rebuild owner; port only with the source debug-menu surface.
SoundManager.h	222	CSoundManager::GetNumSoundEvents	GetNumSoundEvents()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the count of active logical sound events.	mSoundEvents	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:56-68;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving the exact source identity rather than only the independently recovered +0x08 field.	Current Level100Audio owns path-specific player lists, not the retail 256-event pool; expose a count only with a generalized logical-event owner.
SoundManager.h	224	CSoundManager::GetFirstSoundEvent	*GetFirstSoundEvent()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the head of the active sound-event list.	mFirstSoundEvent	NULL is the empty-list state	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:56-68;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving the exact source identity rather than only the independently recovered +0x0C active-list head.	Do not expose the current Godot player collections as this retail list; wait for a generalized event-policy owner.
SoundManager.h	231	CSoundManager::GetFirstSample	*GetFirstSample()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the head of the cached sample list.	mFirstSample	NULL is the empty-list state	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving the sample-head field for this exact source identity.	The current adapter caches streams by resource path; do not label that dictionary as the retail linked sample list.
SoundManager.h	233	CSoundManager::IsInitialised	IsInitialised()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the manager initialization flag.	mInitialised	FALSE/TRUE	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving the exact mInitialised read for this identity.	Current Level100Audio uses Godot node readiness and should not invent a retail manager flag until a reusable owner exists.
SoundManager.h	235	CSoundManager::SetFirstSample	SetFirstSample(CSample *s)	CSoundManager	ALL_TARGETS_SHARED_HEADER	Replace the cached sample-list head with the supplied pointer.	mFirstSample;s input	None	Mutates the sample-list root without relinking other samples.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted setter or inlined caller proving the exact root assignment and ABI.	No direct port; stream-cache mutation remains owned by Level100Audio until a generic sample cache is designed.
SoundManager.h	237	CSoundManager::GetMasterVolume	GetMasterVolume()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the global sound master-volume field.	mMasterVolume	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving the exact getter identity and field offset.	The current adapter already has a master sound option input, but its conversion law must be corrected from the retained tangent curve to released PC behavior.
SoundManager.h	240	CSoundManager::GetGameSoundsMasterVolume	GetGameSoundsMasterVolume()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the game-sound category volume.	mGameSoundsMasterVolume	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:98-108;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving this exact category-field read.	Current Level100Audio has a gameplay mix boundary; keep it presentation-only and do not claim the source accessor is ported.
SoundManager.h	241	CSoundManager::SetGameSoundsMasterVolume	SetGameSoundsMasterVolume(float val)	CSoundManager	ALL_TARGETS_SHARED_HEADER	Assign the game-sound category volume.	mGameSoundsMasterVolume;val input	None	Mutates the game-sound category mix.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:98-108;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted setter or inlined caller proving this exact field write and ABI.	Fold into a future shared category-mix slice rather than adding another Level100-only setter.
SoundManager.h	243	CSoundManager::GetMenuSoundsMasterVolume	GetMenuSoundsMasterVolume()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return mGameSoundsMasterVolume even though the method name says menu volume.	mGameSoundsMasterVolume	None	None; the retained source does not read mMenuSoundsMasterVolume here.	NO_MATCH_FOUND			reverse-engineering/source-code/stuart-source-synthesis.md:1970-1979;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	A retail caller/body proving that the released PC build inherited, fixed, or bypassed this source-level wrong-field read.	Do not port the source bug without retail adjudication; the current adapter keeps frontend and gameplay lists separate but has no proved retail getter law.
SoundManager.h	244	CSoundManager::SetMenuSoundsMasterVolume	SetMenuSoundsMasterVolume(float val)	CSoundManager	ALL_TARGETS_SHARED_HEADER	Assign the menu-sound category volume.	mMenuSoundsMasterVolume;val input	None	Mutates the menu-sound category mix.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:98-108;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted setter or inlined caller proving this exact field write and ABI.	Fold into a future shared category-mix slice; keep frontend cues on the existing singular playback owner meanwhile.
SoundManager.h	247	CSoundManager::GetRadioMessageVolume	GetRadioMessageVolume()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the radio-message volume.	mRadioMessageVolume	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving the exact source identity and field read.	Already represented as the bounded 0.42 Level100 catalog constant, but not as this retail function identity.
SoundManager.h	248	CSoundManager::GetHUDMessageVolume	GetHUDMessageVolume()	CSoundManager	ALL_TARGETS_SHARED_HEADER	Return the HUD-message volume.	mHUDMessageVolume	None	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	An emitted accessor or inlined caller proving the exact source identity and field read.	Already represented as the bounded 0.45 Level100 catalog constant, but not as this retail function identity.
