retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x0044afa0	0x0044b050	CEventManager__ctor	CEventManager::CEventManager	eventmanager.cpp:25	50	16	9	0	SOURCE_BODY_DEMO_TWIN	Initializes overflow-list pointer null and valid false
0x0044afe0	0x0044b090	CEventManager__scalar_deleting_dtor	CEventManager::scalar_deleting_destructor	compiler_wrapper	32	11	4	0	COMPILER_WRAPPER_DEMO_TWIN	Calls the base destructor and conditionally frees storage; not a separately authored source method
0x0044b000	0x0044b0b0	CEventManager__dtor	CEventManager::~CEventManager	eventmanager.cpp:33	93	24	8	0	SOURCE_BODY_DEMO_TWIN	Resets the vtable, runs Shutdown, then destroys all 600 embedded CSPtrSet ring buckets; source assertion is not claimed in the release build
0x0044b060	0x0044b110	CEventManager__Init	CEventManager::Init	eventmanager.cpp:41	293	85	29	0	SOURCE_BODY_DEMO_TWIN	Zeros counters, allocates sorted overflow storage and a 20000-entry 20-byte event pool, links the free list, and marks valid
0x0044b1f0	0x0044b280	CEventManager__Shutdown	CEventManager::Shutdown	eventmanager.cpp:72	157	55	16	0	SOURCE_BODY_DEMO_TWIN	Marks invalid, clears all 200-by-3 ring buckets, destroys overflow storage and the event pool, and nulls ownership pointers
0x0044b2a0	0x0044b320	CEventManager__GetNextFreeEvent	CEventManager::GetNextFreeEvent	eventmanager.cpp:112	40	16	6	0	SOURCE_BODY_DEMO_TWIN	Pops the intrusive event free list or reports pool exhaustion and returns null
0x0044b2d0	0x0044b350	CEventManager__AddEvent_TimeFromNow	CEventManager::AddEvent(relative)	eventmanager.cpp:143	51	18	0	0	SOURCE_BODY_DEMO_TWIN	Adds current manager time to a relative delay and delegates to the absolute scheduler
0x0044b310	0x0044b390	CEventManager__AddEvent_ScheduledEvent	CEventManager::AddEvent(owned_event)	eventmanager.cpp:152	87	36	2	0	SOURCE_BODY_DEMO_TWIN	Copies an owned event into a new relative schedule, then returns the supplied record to the free list
0x0044b370	0x0044b3f0	CEventManager__AddEvent_AtTime	CEventManager::AddEvent(absolute)	eventmanager.cpp:170	581	198	39	0	SOURCE_BODY_DEMO_TWIN	Validates target/time, selects near-frame ring or sorted overflow storage, applies priority and reuse semantics, and increments live count
0x0044b5c0	0x0044b640	CEventManager__Update	CEventManager::Update	eventmanager.cpp:284	64	21	1	0	SOURCE_BODY_DEMO_TWIN	Calls AdvanceTime and then Flush in that exact order
0x0044b600	0x0044b680	CEventManager__AdvanceTime	CEventManager::AdvanceTime	eventmanager.cpp:293	59	20	1	0	SOURCE_BODY_DEMO_TWIN	Increments frame count, derives time as frame times 0.05, marks the current bucket ready, and advances modulo 200; apparent integer return is incidental compiler residue from a source-void method
0x0044b640	0x0044b6c0	CEventManager__Flush	CEventManager::Flush	eventmanager.cpp:311	503	191	18	0	SOURCE_BODY_DEMO_TWIN	Dispatches ring priorities 0 through 2, then strict-time-due overflow events, honors callback rescheduling, recycles records, updates counters, and checks overflow ordering in developer mode
0x004de1f0	0x004de0d0	CScheduledEvent__Set	CScheduledEvent::Set	scheduledevent.cpp:17	56	18	4	0	SOURCE_BODY_DEMO_TWIN	Stores the 16-bit event number and time, registers destination and data ActiveReaders, and clears the reuse flag
0x004de230	0x004de110	CScheduledEvent__dtor	CScheduledEvent::~CScheduledEvent	scheduledevent.cpp:30	120	38	9	0	SOURCE_BODY_DEMO_TWIN	Decrements the static live-record count and unregisters both ActiveReader links from their monitor deletion lists
