registryIndex	command	handlerEntry	cohort	logicalArity	inputs	outputType	outputVtable	effects	ordering	edgeFailure	callGraphSummary	sourceAnchorIds	remainingUnknowns	cheapestFalsifier	grade	semanticGrade	tier2Name	identityScope	originalCppIdentity	commonCallableShape	commonThisTypeBoundary	priorSemanticRowSha256	refinementStatus	refinementFlags
22	SetVisible	0x00535ea0	B_TARGET_ACTIONS	1	argv[0] bool-like value via slot 0x3C. Uses context target without a type-flag gate.	none	-	If the returned low byte is exactly 1, calls target primary slot 32 MakeVisible; every other byte calls slot 33 MakeInvisible. Pinned source clears or sets TF_INVISIBLE respectively.	Decode bool byte; load target; exact compare to 1; one of two dynamic slot calls.	No target/argv/null/type guard. Noncanonical true bytes such as 2 select MakeInvisible.	VM bool getter; target primary slot 32 MakeVisible or slot 33 MakeInvisible.	SRC_THING_VISIBILITY	Whether the VM getter always canonicalizes to 0/1, reachable overrides of visibility slots, and original handler spelling.	Return raw bytes 0, 1, 2, and 255 from a copied VM value and trace the chosen target slot and final TF_INVISIBLE bit.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetVisible	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	8967a53d0adc1d62140a2d9fa14e4dba74f095468c90135bc5ed2ac9dc598498	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
34	HighlightHudPart	0x00535e60	A_GLOBAL_UI	1	argv[0] signed dword through VM integer getter slot 0x30.	none	-	Writes literal 2 to dword address 0x008AA51C + index*4.	Decode integer, scale index by four, then direct global write.	There is no bounds or sign check; negative or oversized indices write outside the apparent array.	VM integer getter only.	-	Array bounds, per-index HUD meaning, consumer timing, and original handler spelling.	In a copied runtime, map the owning allocation and probe only known-valid endpoints while watching the consumer; use a guard-page harness for -1 and first-invalid without touching a real install.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__HighlightHudPart	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	77538c1c197877266518fdc53225aed925f0ea4c5c096939224cb920926f756b	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
35	UnHighlightHudPart	0x00535e80	A_GLOBAL_UI	1	argv[0] signed dword through VM integer getter slot 0x30.	none	-	Writes literal 1 to dword address 0x008AA51C + index*4.	Decode integer, scale index by four, then direct global write.	There is no bounds or sign check; negative or oversized indices write outside the apparent array. It writes 1 rather than zero.	VM integer getter only.	-	Array bounds, meaning of states 1/2, consumer timing, and original handler spelling.	In a copied runtime, map the array and compare consumer behavior for states 1 and 2 at each known-valid index.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__UnHighlightHudPart	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	7b8b4ae0a72a119b502f0d35defaa34cf2533c43d59c1b36190318ea4e32bb6a	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
37	GetWeaponAmmo	0x00535610	E_TARGET_QUERIES	0	No script arguments. Calls the direct callee only when target flags+0x34 bit 0x08 is set.	float	0x005e4ea4	Returns 0 when the gate is clear. Otherwise the source-aligned callee returns Racer speed magnitude/1.5 clamped only above at 1, or dispatches to walker when state!=3 and jet when state==3.	Initialize result 0; optional callee; allocate float wrapper; publish out.	No target null guard. Callee configuration/part pointers are assumed valid. Allocation failure stores null after the callee has already executed.	0x00535622 -> 0x0040C3C0 CBattleEngine__GetWeaponAmmoPercentage; allocator at 0x0053563E.	SRC_BE_WEAPON_AMMO;SRC_BE_STATE_ENUM	Runtime range for negative/NaN speeds, concrete part behavior, and original handler spelling.	Probe Racer velocities below, at, and above 1.5 plus walker/jet states in a copied runtime; compare raw float bits and allocation-failure ordering.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GetWeaponAmmo	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	3a2039b0dfab0ff0f5eacf1c572ee5b90ceef91527aa37be889b84cd22f437e5	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
39	GetWeaponCharge	0x00535750	E_TARGET_QUERIES	0	No script arguments. Calls the direct callee only when target flags+0x34 bit 0x08 is set.	float	0x005e4ea4	Returns 0 when the gate is clear. Otherwise the source-aligned Racer path uses render position, min(terrain sample,water level), abs(height delta)/5 clamped only above at 1; non-Racer dispatches walker for state!=3 and jet for state==3.	Initialize result 0; optional callee; allocate float wrapper; publish out.	No target null guard. Callee configuration/part pointers are assumed valid. Allocation failure stores null after the terrain/part query.	0x00535762 -> 0x0040C4A0 CBattleEngine__GetWeaponCharge; allocator at 0x0053577E.	SRC_BE_WEAPON_CHARGE;SRC_BE_STATE_ENUM	Terrain-sample NaN behavior, concrete part charge laws, and original handler spelling.	Probe Racer above/below terrain and water plus walker/jet states in a copied runtime; compare raw float bits and queried subobject.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GetWeaponCharge	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	8fd3f94af80993ab8bdd4c614725ee699588cb4f979b654d017e165dddadd28f	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
42	SetWindVector	0x00538300	A_GLOBAL_UI	3	argv[0], argv[1], argv[2] floats via slot 0x34; getters execute in order argv[2], argv[1], argv[0].	none	-	Writes argv[0] to 0x00660198, argv[1] to 0x0066019C, argv[2] to 0x006601A0, then writes an uninitialized local dword to 0x006601A4.	Decode 2 then 1 then 0; stage results; write X, Y, Z, then undefined fourth lane.	No arity/type guards. Getter side effects occur in reverse logical order. The fourth global dword is stack residue rather than a demonstrated zero or input.	Three VM float getters; no direct callee.	-	Owning global/vector type, consumer treatment of +0xA4, authored getter side effects, and original handler spelling.	Use three side-effecting copied float wrappers and a stack canary; capture getter order and all four global dwords before the atmospheric consumer runs.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetWindVector	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	a1ecde4607eeba067d8c5f226f9d0965609c6af441aa09bed132f517c44b71bc	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
43	SetRainDensity	0x00538360	A_GLOBAL_UI	1	argv[0] float via slot 0x34.	none	-	Writes the returned float bits directly to global 0x00660190.	Decode float, then one global write.	No clamp, arity/type/null check, or NaN handling is local.	VM float getter only.	-	Units/consumer range of 0x00660190, runtime atmospheric behavior, and original handler spelling.	Write -1, 0, 0.5, 1, 2, infinity, and NaN in a copied runtime; record the global bits and the next atmospheric-consumer branch.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetRainDensity	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	480d809e3c34be704627250d5569b9b81dfd21380aeb3be43718a72b6c6d703c	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
46	SetHealth	0x00535c10	B_TARGET_ACTIONS	1	argv[0] float via slot 0x34. Requires target flags+0x34 bit 0x10.	none	-	After decoding the float, if target+0x164 is nonnull, writes argv[0] * *(float*)(target+0x164+0xC0) to target+0xF8.	Target flag gate; float decode; configuration-pointer test; multiply; health-shaped field write.	Failed flag gate is silent. A null configuration discards the already-decoded x87 result and performs no write. NaN/infinity are not clamped. No arity/type/null guard is local.	VM float getter only.	-	Authoritative names/units for +0xF8 and config+0xC0, acceptable input range, and original handler spelling.	On a copied target, use fractions -1, 0, 0.5, 1, 2, and NaN with null/non-null +0x164; compare the exact +0xF8 bits.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetHealth	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	2b13c3d80783dff97d171c0706d423a16eb2f9aa1ea11ba98a5cee1df633b9c7	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
50	SpawnParticle	0x00536b70	F_ANIMATION_SPAWN	2	argv[0] particle-set name via string slot 0x38; argv[1] 16-byte vector via slot 0x44.	none	-	Looks up the named set through 0x004CD7A0. On success calls particle manager 0x004CB3D0 with the found resource, null owner, the vector by value, and two trailing zeros.	Decode string; decode vector; lookup; missing-name branch/log or CreateEffect call.	"Missing resource prints ""Can't find particle effect %s"" and returns. No local validation protects argument pointers or vector fourth word."	VM string/vector getters; CParticleSet lookup; optional console; CParticleManager__CreateEffect.	-	Exact lookup side effect implied by current analyst name, vector fourth-lane consumption, effect lifetime, and original handler spelling.	In a copied runtime, probe one valid and one missing name with four vector sentinels; capture CreateEffect arguments, link state, and console output.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SpawnParticle	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	de7b85e2c02f9195012cafe4a1c8a234f3e39fc37c73d482447df03b20a57706	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
51	SetSegmentHealth	0x00535480	C_SEGMENTS	2	argv[0] string via slot 0x38; argv[1] float via slot 0x34. Requires target flag bit 0x10 and nonnull target+0x178 controller.	none	-	The callee resolves a named mesh part, reads that part's +0x88 index, uses it directly against the controller+0x04 segment-pointer array, and writes the float to the selected segment+0x0C.	Target/controller gates; decode float before string; mesh/name lookup; unchecked part+0x88 array index; null-entry test; one field write.	Failed wrapper gates and null render interface/root mesh are silent. Missing name or a null selected segment prints a fatal error. The callee does not compare part+0x88 with controller+0x08 before reading controllerArray[index]; the later null test is not a bounds check.	VM float getter; VM string getter; 0x005354B1 -> 0x00444450 SetSegmentField0CByName -> interface slot, mesh lookup, optional console.	-	Concrete meaning and units of segment+0x0C, accepted name rules, validity guarantee for mesh part+0x88, out-of-range runtime consequence, and original handler spelling.	Write distinct floats to a valid and invalid named segment in a copied runtime; compare +0x0C, controller metric, and fatal output.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetSegmentHealth	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	5db55a2643efc8ac688c0902615212d02fbdbc0f55944e61a4e3d58c28d613b5	CORRECTED_AUDIT_FINDING	MESH_PART_88_INDEX;NO_LOCAL_CONTROLLER_COUNT_CHECK
