source_file	source_line	function	signature	source_owner	source_citation	target_branch	source_algorithm	source_fields_constants	source_side_effects	retail_classification	retail_va_or_empty	retail_name_or_empty	retail_evidence	retail_falsifier	rebuild_disposition	input_readiness	stable_key
Array.h	15	CArray::CArray	CArray(int sz)	CArray	references/Onslaught/Array.h:15	VANILLA_MEMORYMANAGER	Store sz as capacity and allocate sz elements with malloc.	mSize=sz; mItems; sizeof(T)*sz	Allocates backing storage.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:15:CArray::CArray:CArray(int sz)
Array.h	16	CArray::~dtor	~CArray()	CArray	references/Onslaught/Array.h:16	VANILLA_MEMORYMANAGER	Release the vanilla backing allocation with free.	mItems	Frees backing storage.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:16:CArray::~dtor:~CArray()
Array.h	18	CArray::CArray	CArray(int sz)	CArray	references/Onslaught/Array.h:18	!VANILLA_MEMORYMANAGER	Store sz as capacity and allocate sz elements through typed new[].	mSize=sz; MEMTYPE_ARRAY; sizeof(T)*sz	Allocates and constructs backing elements.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:18:CArray::CArray:CArray(int sz)
Array.h	19	CArray::~dtor	~CArray()	CArray	references/Onslaught/Array.h:19	!VANILLA_MEMORYMANAGER	Release and destruct the typed backing array with delete[].	mItems	Destructs elements and frees backing storage.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:19:CArray::~dtor:~CArray()
Array.h	21	CArray::operator=	& operator =(CArray<T>& copy)	CArray	references/Onslaught/Array.h:21	all CArray builds	Copy exactly receiver mSize entries from the source through indexed access, then return this.	mSize; mItems[0..mSize)	Overwrites receiver elements; capacity is unchanged.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:21:CArray::operator=:& operator =(CArray<T>& copy)
Array.h	22	CArray::SetAll	SetAll(T val)	CArray	references/Onslaught/Array.h:22	all CArray builds	Fill every entry from zero through mSize-1 with val.	mSize; mItems	Overwrites all live capacity entries.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:22:CArray::SetAll:SetAll(T val)
Array.h	23	CArray::Size	Size()	CArray	references/Onslaught/Array.h:23	all CArray builds	Return the stored array capacity.	mSize	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:23:CArray::Size:Size()
Array.h	27	CArray::ReSize	ReSize(int size)	CArray	references/Onslaught/Array.h:27	!PARTICLE_ED && !EDITORBUILD2 && !VANILLA_MEMORYMANAGER	Reallocate through MEM_MANAGER to size*sizeof(T), then store the new size.	mItems; mSize; sizeof(T)*size	May move backing storage and changes capacity.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:27:CArray::ReSize:ReSize(int size)
Array.h	29	CArray::ReSize	ReSize(int size)	CArray	references/Onslaught/Array.h:29	!PARTICLE_ED && !EDITORBUILD2 && VANILLA_MEMORYMANAGER	Reallocate through CRT realloc to size*sizeof(T), then store the new size.	mItems; mSize; sizeof(T)*size	May move backing storage and changes capacity.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:29:CArray::ReSize:ReSize(int size)
Array.h	32	CArray::ReSize	ReSize(int size)	CArray	references/Onslaught/Array.h:32	!PARTICLE_ED && EDITORBUILD2	Reallocate through CRT realloc to size*sizeof(T), then store the new size.	mItems; mSize; sizeof(T)*size	May move backing storage and changes capacity.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:32:CArray::ReSize:ReSize(int size)
Array.h	35	CArray::ReSize	ReSize(int size)	CArray	references/Onslaught/Array.h:35	PARTICLE_ED	Reallocate through CRT realloc to size*sizeof(T), then store the new size.	mItems; mSize; sizeof(T)*size	May move backing storage and changes capacity.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:35:CArray::ReSize:ReSize(int size)
Array.h	43	CArray::operator[]	& operator [] (int item)	CArray	references/Onslaught/Array.h:43	!_DEBUG	Return a reference to mItems[item] without bounds validation.	mItems; item	Exposes mutable element storage.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:43:CArray::operator[]:& operator [] (int item)
Array.h	58	CSArray::operator=	& operator =(CSArray<T, size>& copy)	CSArray	references/Onslaught/Array.h:58	all CSArray builds	Copy all compile-time size entries from the source and return this.	mItems[size]; template constant size	Overwrites every embedded element.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:58:CSArray::operator=:& operator =(CSArray<T, size>& copy)
Array.h	59	CSArray::SetAll	SetAll(T val)	CSArray	references/Onslaught/Array.h:59	all CSArray builds	Fill all compile-time size embedded entries with val.	mItems[size]; template constant size	Overwrites every embedded element.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:59:CSArray::SetAll:SetAll(T val)
Array.h	60	CSArray::Size	Size()	CSArray	references/Onslaught/Array.h:60	all CSArray builds	Return the compile-time array size.	template constant size	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:60:CSArray::Size:Size()
