id	severity	domain	file	issue	proposed_change	evidence_refs	owner
FX-001	CRITICAL	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Skill points to non-canonical and missing CLAUDE.md anchors	Replace CLAUDE.md references with AGENTS.md and canonical index links RE-INDEX.md, LORE-INDEX.md, ROADMAP-INDEX.md	subagents/depth2/lane03_skill_drift_findings.md:15-29; AGENTS.md:360-361	main-agent
FX-002	CRITICAL	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Kill-counter example uses aligned-view offset framing as authoritative	Update example to true-view mapping: file 0x23F6 for kills with CCareer 0x23F4 and mark aligned-view references as legacy only	subagents/depth2/lane03_skill_drift_findings.md:30-40; AGENTS.md:184; AGENTS.md:266	main-agent
FX-003	HIGH	dataflow-docs	AGENTS.md; reverse-engineering/save-file/save-format.md; reverse-engineering/binary-analysis/functions/Controller.cpp/ControlBindings.md; BesFilePatcher.cs; patcher.py	Load path write to defaultoptions.bea is stated as unconditional	Revise wording to conditional load-path write on DAT_0082b5b0 == 0 and note other save/menu flows can also rewrite defaultoptions.bea	subagents/depth2/lane09_dataflow_semantics_validation.md:13-35	main-agent
FX-004	HIGH	dataflow-docs	reverse-engineering/binary-analysis/executable-analysis.md; reverse-engineering/binary-analysis/GHIDRA-REFERENCE.md	CCareer__Load summaries omit options entries and tail semantics for flag modes	Replace summaries with explicit behavior for flag=0 vs flag!=0 covering sound/music and options entries/tail apply semantics	subagents/depth2/lane09_dataflow_semantics_validation.md:36-47	main-agent
FX-005	HIGH	roadmap-docs	roadmap/gui-expansion.md	Roadmap still says Python Binary Patches parity is pending	Update status block to implemented parity and shift focus text to UX polish, reliability hardening, and regression depth	subagents/depth2/lane01_canonical_docs_contradictions.md:5-15	main-agent
FX-006	HIGH	cli-parity	patcher.py	Python CLI lacks --version while C# CLI supports it	Add --version option in Python CLI with matching success exit behavior and version text contract	subagents/depth2/lane05_cli_parity_validation.md:28; subagents/depth2/lane05_cli_parity_validation.md:41-44	main-agent
FX-007	HIGH	gui-bug	onslaught/gui/tabs/save_analyzer.py	Save Analyzer summary duplicates Options section in Python	Remove duplicate Options block and keep a single deterministic options section in summary generation	subagents/depth2/lane04_gui_parity_validation.md:38	main-agent
FX-008	HIGH	tests-cli	OnslaughtCareerEditor.UiTests; tests_pyqt	No read-only CLI parity tests for --analyze, --compare, and --dump-mystery	Add cross-stack read-only mode tests covering success and failure paths with stable marker assertions	subagents/depth2/lane08_test_gap_priorities.md:18	main-agent
FX-009	HIGH	tests-safety	OnslaughtCareerEditor.UiTests; tests_pyqt	Options-file safety guard and override behavior are untested	Add tests for blocked-by-default behavior and --allow-career-sections-on-options-file override success in both stacks	subagents/depth2/lane08_test_gap_priorities.md:19	main-agent
FX-010	HIGH	tests-binary-patch	OnslaughtCareerEditor.UiTests/BinaryPatchRegressionTests.cs	C# binary patch verify/apply/restore semantics are not regression-tested	Add C# regression suite for mismatch abort, backup creation rules, apply/restore success, and cross-stack patch-spec parity	subagents/depth2/lane08_test_gap_priorities.md:20; subagents/depth2/lane06_binary_patch_gap_findings.md:98-107	main-agent
FX-011	HIGH	roadmap-docs	roadmap/app-validation-checklist.md; roadmap/app-delivery-phases.md	Validation gate docs omit active Python binary patch regression module	Add tests_pyqt/test_binary_patches_unittest.py to required Python gate command sequences	subagents/depth2/lane01_canonical_docs_contradictions.md:32-48	main-agent
FX-012	HIGH	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Top-level canonical index guidance is optional and incomplete	Update skill text to mandate RE-INDEX.md, LORE-INDEX.md, and ROADMAP-INDEX.md as canonical top-level indexes	subagents/depth2/lane03_skill_drift_findings.md:43-53; AGENTS.md:360	main-agent
FX-013	HIGH	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Skill README policy conflicts with repo compatibility stance	Revise policy to _index.md canonical with folder README allowed for compatibility if kept synchronized	subagents/depth2/lane03_skill_drift_findings.md:54-63; AGENTS.md:361	main-agent
