owner	retail_va	demo_va	retail_current_name	semantic_label	abi_placement	body_bytes	instruction_count	raw_diff_instruction_count	normalized_diff_instruction_count	semantic_status	evidence_boundary
CController	0x0042d780	0x0042d770	HYP__CController__scalar_deleting_dtor	CController::~CController [scalar deleting wrapper]	primary:0	32	11	2	0	RTTI_ABI	MSVC deleting wrapper around the source destructor which closes record or playback data and deletes active readers
CController	0x0042d9d0	0x0042d9c0	HYP__CController__Flush	CController::Flush	primary:2	34	12	0	0	SOURCE_BODY	Copies current button words to old clears current words and invokes virtual DoMappings
CController	0x0042db40	0x0042db30	HYP__CController__DoMappings	CController::DoMappings	primary:15	2046	601	65	0	SOURCE_BODY	Samples axes applies dead zones playback repeat and configuration then dispatches all digital analogue and keyboard mapping modes
CGame	0x0046c2b0	0x0046c2e0	HYP__CGame__scalar_deleting_dtor	CGame::~CGame [scalar deleting wrapper]	primary:1	32	11	2	0	RTTI_ABI	MSVC deleting wrapper for the source game owner
CGame	0x0046c990	0x0046c9c0	HYP__CGame__Shutdown	CGame::Shutdown	primary:2	220	56	38	0	SOURCE_BODY	Shuts down music HUD interface particles engine map and level resources with the released platform-conditioned outro/reboot path
CGame	0x0046f7e0	0x0046f6b0	HYP__CGame__ReceiveButtonAction	CGame::ReceiveButtonAction	primary:3	705	248	24	0	SOURCE_BODY	Dispatches global debug console cutscene win loss and objective-completion controls exactly as source
CGame	0x0046ff10	0x0046fde0	HYP__CGame__HandleEvent	CGame::HandleEvent	primary:0	445	138	20	0	SOURCE_BODY	Dispatches restart prerun panning respawn pause and recurring 0.003f game-sound fade events
CPlayer	0x004d2810	0x004d26f0	HYP__CPlayer__scalar_deleting_dtor	CPlayer::~CPlayer [scalar deleting wrapper]	primary:1	32	11	2	0	RTTI_ABI	MSVC deleting wrapper around the source player destructor
CPlayer	0x004d2fe0	0x004d2ec0	CPlayer__VFunc_0_004d2fe0	CPlayer::HandleEvent	primary:0	57	20	0	0	SOURCE_BODY	Handles GOTO_CONTROL_VIEW while the Battle Engine exists and the player remains in pan view then delegates other events
CPlayer	0x004d3110	0x004d2ff0	HYP__CPlayer__ReceiveButtonAction	CPlayer::ReceiveButtonAction	primary:3	804	238	49	0	SOURCE_BODY	Applies state pause panning power inversion and nonlinear-look gates then dispatches Battle Engine and movement actions
