record_type	disposition	artifact	sha256_or_set_sha256	path_count	firelock_entry_sessions	startlock_sessions	active_iterator_sessions	remove_sessions	add_stamp_sessions	duplicate_free_sessions	verdict	notes
REUSE_ROLLUP	HISTORICAL_REPRODUCED	exact normalized support-plus-coverage input rows	1df43b51b428da9f11a9e2acdb16ca3241431e92cec631e0a24bfd0b2822b765	139	3	0	1	0	0	0	HISTORICAL_RANGE_CENSUS_REPRODUCED	58 support inputs plus 81 execution-coverage files; exact candidate-parent identity reproduced; not all 81 are current-indexer-admissible
SUPPORT_ROLLUP	HISTORICAL_REPRODUCED	tracked/local support inputs	1df43b51b428da9f11a9e2acdb16ca3241431e92cec631e0a24bfd0b2822b765	58							READ	this field repeats the overall 139-row digest, not a separately published support-only digest; includes dated authority, owners, pinned source, replicas, and ceremony inputs
ATOMIC14_ROLLUP	REUSED	local-lab/atomic14-rederived-formal-proof-20260808-v1/proof-v2/rederived-formal-proof.ready.json	8a83b9617de616d6f9bf0572ef5298acbf9b504996c536f76119e0afd4f4162c	15							PASS	all 15 top-level, replica, and failure-control READY files were included; logical historical path; used only as immutable proof-ceremony pattern
ARITY36_COLLATERAL	REUSED	local-lab/arity36-ceremony-2026-08-17/collateral.json	4c094bdbdef72bdadf5d25add82015eee725deb9a33791680f0fe3e2d82a82a5	1							FAIL	stale-current collateral failure preserved as historical input; not treated as a passing precedent
ARITY36_READBACK	REUSED	local-lab/arity36-ceremony-2026-08-17/readback.json	dbfdcff924f5c4c11457607df370c7dca23e32b98a633ce6aff03d28c4ead300	1							PASS	seven arity36 report, collateral, and readback paths total were included in the support rollup
GEN32_READY	DATED_AUTHORITY_REVALIDATED	local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign.ready.json	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f	1							PASS	2026-08-23 authority input revalidated 2026-08-30; future current routing comes from developer_state.json current_re_authority
GEN32_EXTERNAL_AUTHORITY	DATED_AUTHORITY_REVALIDATED	local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-authority.ready.json	6238430dffb5c80517e17411db7e4505250b01f7226bcc982af675b0fe776b37	1							PASS	dated external authority receipt revalidated 2026-08-30; not a timeless current-authority selector
EVIDENCE_REGISTER	REUSED	reverse-engineering/EVIDENCE-REGISTER.tsv	4862fc61391c9bf65cd7183752e99b9b02b6bfb721e5b4b5c1e7c5fae5b885b4	1							C1_PRESERVED	0x00407060 remains C1_CANDIDATE_PARTIAL at the 2026-08-30 revalidation
CONTRACT_COVERAGE	HISTORICAL_INPUT	reverse-engineering/contract-schema/coverage.json@149436fa61fbc81708d51e947131ae3276b26a09	a8feb9ed2a8c96c29b0c5226b5d3b5849f9599635c9790fef03a41f786dc2f42	1							HISTORICAL_BLOCKED_INPUT	candidate-parent generated coverage input; retained only inside the historical 139-row identity
PINNED_SOURCE	REUSED	references/Onslaught/BattleEngine.cpp@5352a81cdb838b145a57f7febc5d9fc4b0129ebb	138a18d10ad6aa3cb95211d3a1c7e2a14aaaaaf58210ad0d06abff55f2b33d31	1							SOURCE_ONLY	FireLock lines 842-866 and CLockInfo::Fired lines 3153-3157; source is architecture, not retail runtime proof
