retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x00516980	0x00516a20	CPCSoundManager__GetDeviceCount	CPCSoundManager device-count accessor	retail PC extension	6	2	2	0	RETAIL_PC_EXTENSION_DEMO_TWIN	Returns the enumerated DirectSound device count used by sound-options/frontend code
0x00516990	0x00516a30	CPCSoundManager__GetDeviceInfoPtr	CPCSoundManager device-info accessor	retail PC extension	18	5	2	0	RETAIL_PC_EXTENSION_DEMO_TWIN	Returns base + index*0x78 for the enumerated device-info record selected by frontend/options code; complete record schema remains open
0x005169b0	0x00516a50	CPCSoundManager__Init	CPCSoundManager::DeviceInit	pcsoundmanager.cpp:36	1300	372	115	0	SOURCE_SHAPE_RETAIL_DEVICE_ENUM_DEMO_TWIN	Creates the wave reader, clears 64 channel slots, enumerates devices, clamps the selected index, creates DirectSound8, sets priority cooperation, queries capabilities, chooses 3D/voice counts, creates and formats the primary buffer, and obtains the 3D listener
0x005171e0	0x00517280	CPCSoundManager__DeviceShutdown	CPCSoundManager::DeviceShutdown	pcsoundmanager.cpp:116	123	47	3	0	SOURCE_BODY_DEMO_TWIN	Stops/releases all 64 DirectSound and 3D buffer slots, releases the DirectSound object, and deletes the wave-reader helper
0x00517260	0x00517300	CPCSoundManager__DeviceReset	CPCSoundManager::DeviceReset	pcsoundmanager.cpp:135	34	16	0	0	SOURCE_BODY_DEMO_TWIN	Stops every non-null DirectSound buffer across all 64 slots without releasing them
0x00517290	0x00517330	CPCSoundManager__LoadSampleFromBuffer_StubFail	CPCSoundManager::LoadSampleFromBuffer	pcsoundmanager.h:58	5	2	0	0	SOURCE_STUB_DEMO_TWIN	Two-argument stack-cleaning stub always returns null, matching the retained PC header's unimplemented memory-buffer loader
0x005172a0	0x00517340	CPCSoundManager__CreateSampleFromFile	CPCSoundManager compressed sample-record loader	retail PC extension	411	145	41	0	RETAIL_COMPRESSED_LOADER_DEMO_TWIN	Reads compressed size, allocates or refreshes a 0x84-byte sample, reads ADPCM bytes, creates/locks a secondary buffer, decodes and quality-converts PCM, unlocks, and frees temporary storage
0x00517440	0x005174e0	CPCSoundManager__CreateSoundBuffer	CPCSoundManager secondary-buffer allocator	retail PC extension	441	142	20	0	RETAIL_PC_EXTENSION_DEMO_TWIN	Builds quality-dependent PCM format and DirectSound buffer description, selects the 3D algorithm, scales output byte count, creates and locks the complete secondary buffer, and returns its write pointer or null
0x00517600	0x005176a0	CPCSoundManager__ConvertAudioFormat	CPCSoundManager quality conversion helper	retail PC extension	199	80	2	0	RETAIL_PC_EXTENSION_DEMO_TWIN	Quality 0 copies decoded PCM, quality 1 averages stereo 16-bit pairs to 16-bit mono, and lower quality averages four source samples to unsigned 8-bit output
0x005176d0	0x00517770	CPCSoundManager__CreateSampleFromData	CPCSoundManager PCM-data sample creator	retail PC extension	184	69	11	0	RETAIL_PC_EXTENSION_DEMO_TWIN	Allocates or refreshes a 0x84-byte sample, records byte count, creates/locks a secondary buffer, quality-converts supplied PCM, and unlocks it; retained third argument is unused
0x00517790	0x00517830	CPCSoundManager__PlaySound	CPCSoundManager::PlaySound	pcsoundmanager.cpp:228	458	158	4	0	SOURCE_BODY_RETAIL_BUFFER_DUPLICATION_DEMO_TWIN	Computes start/end offsets, duplicates the sample buffer into the selected channel, acquires its 3D interface, seeds position/volume/frequency, seeks, plays with the event loop flag, and marks playing
0x00517960	0x00517a00	CPCSoundManager__UnPauseSound	CPCSoundManager::UnPauseSound	pcsoundmanager.cpp:280	48	19	0	0	SOURCE_BODY_DEMO_TWIN	Restarts the assigned DirectSound channel using the event loop flag
0x00517990	0x00517a30	CPCSoundManager__PauseSound	CPCSoundManager::PauseSound	pcsoundmanager.cpp:297	27	9	0	0	SOURCE_BODY_DEMO_TWIN	Stops the assigned DirectSound channel without releasing it
0x005179b0	0x00517a50	CPCSoundManager__StopSound	CPCSoundManager::StopSound	pcsoundmanager.cpp:311	101	32	0	0	SOURCE_BODY_RELEASES_CHANNEL_DEMO_TWIN	Stops, releases, and nulls the assigned DirectSound buffer, then releases and nulls the matching 3D buffer; the retained block flag has no observed PC-body branch
0x00517a20	0x00517ac0	CPCSoundManager__UpdateGlobals	CPCSoundManager::UpdateGlobals	pcsoundmanager.cpp:324	170	32	2	0	SOURCE_BODY_DEMO_TWIN	Builds neutral listener position/orientation/distance/doppler state and submits it to the DirectSound3D listener with deferred application
0x00517ae0	0x00517b80	CPCSoundManager__UpdateSound	CPCSoundManager::UpdateSound	pcsoundmanager.cpp:362	350	116	8	0	SOURCE_BODY_DEMO_TWIN	Updates 3D position/velocity, applies distance-adjusted volume, writes DirectSound attenuation, updates frequency when continuous-rate support is present, and detects channels no longer playing after their first update
0x00517c40	0x00517ce0	CPCSoundManager__UpdatesDone	CPCSoundManager::UpdatesDone	pcsoundmanager.cpp:434	24	10	0	0	SOURCE_BODY_DEMO_TWIN	Commits deferred DirectSound3D listener settings when initialized
0x00517c60	0x00517d00	CPCSoundManager__GetSampleLength	CPCSoundManager::GetSampleLength	pcsoundmanager.cpp:468	68	20	2	0	SOURCE_BODY_DEMO_TWIN	Selects 44100, 22050, or 11025 Hz from quality index and returns decoded byte count divided by sample_rate*2
0x00517cb0	0x00517d50	CPCSoundManager__FindFreeChannel	CPCSoundManager::FindFreeChannel	pcsoundmanager.cpp:486	79	36	2	0	SOURCE_BODY_DEMO_TWIN	Scans the active voice count, rejects channel indices already referenced by active events, and returns the first null buffer slot or -1
0x00517fa0	0x00518040	CPCSoundManager__DecodeADPCM	CPCSoundManager IMA ADPCM decoder	retail PC extension	265	90	6	0	RETAIL_CODEC_DEMO_TWIN	Consumes alternating nibbles using the canonical 16-entry index and 89-entry step tables, clamps signed 16-bit PCM output, and updates predictor/index state for continuity
