address	weak_name	doc_path	line	snippet
0x00404860	CAtmospheric__Unk_00404860	reverse-engineering/binary-analysis/functions/thing.cpp/_index.md	124	2. Calls FUN_00404860 with params to configure trail
0x00404860	CAtmospheric__Unk_00404860	reverse-engineering/binary-analysis/functions/thing.cpp/_index.md	160	- FUN_00404860 - Trail configuration (in AddTrail)
0x00444520	CDestroyableSegment__Unk_00444520	reverse-engineering/binary-analysis/functions/HiveBoss.cpp/_index.md	27	- **"core2" model** - Loads model via FUN_00444520("core2")
0x0044adb0	CExplosionInitThing__Unk_0044adb0	reverse-engineering/binary-analysis/functions/oids.cpp/_index.md	74	|       +-- FUN_0044adb0
0x00469400	CMonitor__Unk_00469400	reverse-engineering/binary-analysis/functions/MenuItem.cpp/_index.md	33	| 0x004a3120 | CMenuItem__IsMouseClicked | Check if mouse clicked on item | Wrapper for FUN_00469400 |
0x00469400	CMonitor__Unk_00469400	reverse-engineering/binary-analysis/functions/MenuItem.cpp/_index.md	129	3. **Mouse Handling**: Uses FUN_004693d0 (bounds check) and FUN_00469400 (click detection)
0x00490f40	CUnitAI__Unk_00490f40	reverse-engineering/binary-analysis/functions/mixermap.cpp/_index.md	85	**Called from:** `FUN_00490f40+0xa` (via JMP - tail call optimization)
0x00490f40	CUnitAI__Unk_00490f40	reverse-engineering/binary-analysis/functions/mixermap.cpp/_index.md	141	- Caller `FUN_00491060` and `FUN_00490f40` may be CSoundSystem methods
0x004ab330	CMesh__Unk_004ab330	reverse-engineering/binary-analysis/functions/DXImposter.cpp/_index.md	98	6. Reads additional value and looks up resource via `FUN_004ab330()`
0x004b4de0	CEngine__Unk_004b4de0	reverse-engineering/binary-analysis/functions/MeshCollisionVolume.cpp/_index.md	40	- If `this->field_0x1c == 0`: calls `FUN_004b4de0` for standard mesh bounds
0x004b4de0	CEngine__Unk_004b4de0	reverse-engineering/binary-analysis/functions/MeshCollisionVolume.cpp/_index.md	78	- `FUN_004b4de0` - Standard mesh bounds calculation
0x004d06e0	CPauseMenu__Unk_004d06e0	reverse-engineering/binary-analysis/functions/Career.cpp/CCareer__Save.md	58	- `FUN_004d06e0` (PauseMenu path) serializes with `CCareer__Save`, conditionally writes selected save via `PCPlatform__WriteSaveFile`, then writes `defaultoptions.bea` via `CFEPOptions__WriteDefaultOptionsFile`.
0x004d06e0	CPauseMenu__Unk_004d06e0	reverse-engineering/binary-analysis/functions/FEPOptions.cpp/CFEPOptions__WriteDefaultOptionsFile.md	49	### 3) PauseMenu-driven path (`FUN_004d06e0`)
0x004d06e0	CPauseMenu__Unk_004d06e0	reverse-engineering/binary-analysis/functions/FEPOptions.cpp/_index.md	68	- `FUN_004d06e0` (PauseMenu path)
0x004d0810	CPauseMenu__Unk_004d0810	reverse-engineering/binary-analysis/functions/Controller.cpp/_index.md	196	- FUN_004d0810 (0x004d0b00, 0x004d0bd7, 0x004d0d20)
