id	severity	domain	file	issue	evidence_refs	owner	finding_class
FX-001	CRITICAL	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Skill points to non-canonical and missing CLAUDE.md anchors	subagents/depth2/lane03_skill_drift_findings.md:15-29; AGENTS.md:360-361	main-agent	gap
FX-002	CRITICAL	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Kill-counter example uses aligned-view offset framing as authoritative	subagents/depth2/lane03_skill_drift_findings.md:30-40; AGENTS.md:184; AGENTS.md:266	main-agent	alignment
FX-003	HIGH	dataflow-docs	AGENTS.md; reverse-engineering/save-file/save-format.md; reverse-engineering/binary-analysis/functions/Controller.cpp/ControlBindings.md; BesFilePatcher.cs; patcher.py	Load path write to defaultoptions.bea is stated as unconditional	subagents/depth2/lane09_dataflow_semantics_validation.md:13-35	main-agent	alignment
FX-004	HIGH	dataflow-docs	reverse-engineering/binary-analysis/executable-analysis.md; reverse-engineering/binary-analysis/GHIDRA-REFERENCE.md	CCareer__Load summaries omit options entries and tail semantics for flag modes	subagents/depth2/lane09_dataflow_semantics_validation.md:36-47	main-agent	gap
FX-005	HIGH	roadmap-docs	roadmap/gui-expansion.md	Roadmap still says Python Binary Patches parity is pending	subagents/depth2/lane01_canonical_docs_contradictions.md:5-15	main-agent	alignment
FX-006	HIGH	cli-parity	patcher.py	Python CLI lacks --version while C# CLI supports it	subagents/depth2/lane05_cli_parity_validation.md:28; subagents/depth2/lane05_cli_parity_validation.md:41-44	main-agent	gap
FX-007	HIGH	gui-bug	onslaught/gui/tabs/save_analyzer.py	Save Analyzer summary duplicates Options section in Python	subagents/depth2/lane04_gui_parity_validation.md:38	main-agent	alignment
FX-008	HIGH	tests-cli	OnslaughtCareerEditor.UiTests; tests_pyqt	No read-only CLI parity tests for --analyze, --compare, and --dump-mystery	subagents/depth2/lane08_test_gap_priorities.md:18	main-agent	alignment
FX-009	HIGH	tests-safety	OnslaughtCareerEditor.UiTests; tests_pyqt	Options-file safety guard and override behavior are untested	subagents/depth2/lane08_test_gap_priorities.md:19	main-agent	gap
FX-010	HIGH	tests-binary-patch	OnslaughtCareerEditor.UiTests/BinaryPatchRegressionTests.cs	C# binary patch verify/apply/restore semantics are not regression-tested	subagents/depth2/lane08_test_gap_priorities.md:20; subagents/depth2/lane06_binary_patch_gap_findings.md:98-107	main-agent	alignment
FX-011	HIGH	roadmap-docs	roadmap/app-validation-checklist.md; roadmap/app-delivery-phases.md	Validation gate docs omit active Python binary patch regression module	subagents/depth2/lane01_canonical_docs_contradictions.md:32-48	main-agent	gap
FX-012	HIGH	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Top-level canonical index guidance is optional and incomplete	subagents/depth2/lane03_skill_drift_findings.md:43-53; AGENTS.md:360	main-agent	gap
FX-013	HIGH	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Skill README policy conflicts with repo compatibility stance	subagents/depth2/lane03_skill_drift_findings.md:54-63; AGENTS.md:361	main-agent	contradiction
FX-014	MEDIUM	roadmap-docs	roadmap/gui-expansion.md	Project-structure snippet is stale and references missing or nonexistent modules	subagents/depth2/lane01_canonical_docs_contradictions.md:16-30	main-agent	contradiction
FX-015	MEDIUM	lore-roadmap-docs	lore-book/roadmap/re-investigation.md	Roadmap wording treats defaultoptions.bea as only a template	subagents/depth2/lane09_dataflow_semantics_validation.md:48-61	main-agent	alignment
FX-016	MEDIUM	gui-copy	Views/SaveEditorView.xaml; onslaught/gui/tabs/save_editor.py; Views/SaveEditorView.xaml.cs	UI text over-prescribes direct defaultoptions patching without load/save sync nuance	subagents/depth2/lane09_dataflow_semantics_validation.md:62-80	main-agent	alignment
FX-017	MEDIUM	docs	CURRENT_CAPABILITIES.md	Options-tail documentation still says mapping is only partial	subagents/depth2/lane09_dataflow_semantics_validation.md:82-91	main-agent	alignment
FX-018	MEDIUM	gui-parity	Views/SaveEditorView.xaml.cs; onslaught/gui/tabs/save_editor.py	Configuration in-place patch policy diverges across C# and Python	subagents/depth2/lane04_gui_parity_validation.md:34	main-agent	alignment
FX-019	MEDIUM	gui-parity	MainWindow.xaml.cs; onslaught/gui/main_window.py	Nested-tab status text behavior diverges between WPF and PyQt	subagents/depth2/lane04_gui_parity_validation.md:35	main-agent	alignment
FX-020	MEDIUM	gui-parity	MainWindow.xaml; MainWindow.xaml.cs; onslaught/gui/main_window.py	Global menu actions exist only in Python shell	subagents/depth2/lane04_gui_parity_validation.md:36	main-agent	alignment
FX-021	MEDIUM	gui-performance	Views/LoreBrowserView.xaml.cs; onslaught/gui/tabs/lore_browser.py	Lore tab loading strategy diverges lazy vs eager	subagents/depth2/lane04_gui_parity_validation.md:37	main-agent	alignment
FX-022	MEDIUM	binary-patch-ux	patches/README.md; Views/BinaryPatchesView.xaml; onslaught/gui/tabs/binary_patches.py; patches/patch_display_mode_flow.py	Stable vs experimental track taxonomy is not explicit in patch tooling and docs	subagents/depth2/lane06_binary_patch_gap_findings.md:50-62; subagents/depth2/lane06_binary_patch_gap_findings.md:124-126	main-agent	alignment
