id	severity	domain	file	issue	proposed_change	evidence_refs	owner	validation_step
FX-001	CRITICAL	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Skill points to non-canonical and missing CLAUDE.md anchors	Replace CLAUDE.md references with AGENTS.md and canonical index links RE-INDEX.md, LORE-INDEX.md, ROADMAP-INDEX.md	subagents/depth2/lane03_skill_drift_findings.md:15-29; AGENTS.md:360-361	main-agent	rg -n "CLAUDE.md|AGENTS.md|RE-INDEX.md|LORE-INDEX.md|ROADMAP-INDEX.md" /home/dlprentice/.codex/skills/documentation-standards/SKILL.md
FX-002	CRITICAL	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Kill-counter example uses aligned-view offset framing as authoritative	Update example to true-view mapping: file 0x23F6 for kills with CCareer 0x23F4 and mark aligned-view references as legacy only	subagents/depth2/lane03_skill_drift_findings.md:30-40; AGENTS.md:184; AGENTS.md:266	main-agent	rg -n "0x23F6|0x23F4|legacy aligned|aligned-view" /home/dlprentice/.codex/skills/documentation-standards/SKILL.md
FX-003	HIGH	dataflow-docs	AGENTS.md; reverse-engineering/save-file/save-format.md; reverse-engineering/binary-analysis/functions/Controller.cpp/ControlBindings.md; BesFilePatcher.cs; patcher.py	Load path write to defaultoptions.bea is stated as unconditional	Revise wording to conditional load-path write on DAT_0082b5b0 == 0 and note other save/menu flows can also rewrite defaultoptions.bea	subagents/depth2/lane09_dataflow_semantics_validation.md:13-35	main-agent	rg -n "DAT_0082b5b0|may write defaultoptions.bea|frontend load/save flows" AGENTS.md reverse-engineering/save-file/save-format.md reverse-engineering/binary-analysis/functions/Controller.cpp/ControlBindings.md BesFilePatcher.cs patcher.py
FX-004	HIGH	dataflow-docs	reverse-engineering/binary-analysis/executable-analysis.md; reverse-engineering/binary-analysis/GHIDRA-REFERENCE.md	CCareer__Load summaries omit options entries and tail semantics for flag modes	Replace summaries with explicit behavior for flag=0 vs flag!=0 covering sound/music and options entries/tail apply semantics	subagents/depth2/lane09_dataflow_semantics_validation.md:36-47	main-agent	rg -n "flag=0|flag!=0|options entries|tail" reverse-engineering/binary-analysis/executable-analysis.md reverse-engineering/binary-analysis/GHIDRA-REFERENCE.md
FX-005	HIGH	roadmap-docs	roadmap/gui-expansion.md	Roadmap still says Python Binary Patches parity is pending	Update status block to implemented parity and shift focus text to UX polish, reliability hardening, and regression depth	subagents/depth2/lane01_canonical_docs_contradictions.md:5-15	main-agent	rg -n "Status \(Mar 2026\)|Binary Patches" roadmap/gui-expansion.md
FX-006	HIGH	cli-parity	patcher.py	Python CLI lacks --version while C# CLI supports it	Add --version option in Python CLI with matching success exit behavior and version text contract	subagents/depth2/lane05_cli_parity_validation.md:28; subagents/depth2/lane05_cli_parity_validation.md:41-44	main-agent	python3 patcher.py --version
FX-007	HIGH	gui-bug	onslaught/gui/tabs/save_analyzer.py	Save Analyzer summary duplicates Options section in Python	Remove duplicate Options block and keep a single deterministic options section in summary generation	subagents/depth2/lane04_gui_parity_validation.md:38	main-agent	python3 patcher.py --analyze save-attempts/haha-cannon-goes-brrrrr.bes | rg -n "^Options"
FX-008	HIGH	tests-cli	OnslaughtCareerEditor.UiTests; tests_pyqt	No read-only CLI parity tests for --analyze, --compare, and --dump-mystery	Add cross-stack read-only mode tests covering success and failure paths with stable marker assertions	subagents/depth2/lane08_test_gap_priorities.md:18	main-agent	dotnet test OnslaughtCareerEditor.UiTests/OnslaughtCareerEditor.UiTests.csproj --filter "Name~CliReadOnly" && python3 -m unittest -v tests_pyqt.test_cli_readonly_modes_unittest
FX-009	HIGH	tests-safety	OnslaughtCareerEditor.UiTests; tests_pyqt	Options-file safety guard and override behavior are untested	Add tests for blocked-by-default behavior and --allow-career-sections-on-options-file override success in both stacks	subagents/depth2/lane08_test_gap_priorities.md:19	main-agent	dotnet test OnslaughtCareerEditor.UiTests/OnslaughtCareerEditor.UiTests.csproj --filter "Name~OptionsFile" && python3 -m unittest -v tests_pyqt.test_cli_options_file_safety_unittest
FX-010	HIGH	tests-binary-patch	OnslaughtCareerEditor.UiTests/BinaryPatchRegressionTests.cs	C# binary patch verify/apply/restore semantics are not regression-tested	Add C# regression suite for mismatch abort, backup creation rules, apply/restore success, and cross-stack patch-spec parity	subagents/depth2/lane08_test_gap_priorities.md:20; subagents/depth2/lane06_binary_patch_gap_findings.md:98-107	main-agent	dotnet test OnslaughtCareerEditor.UiTests/OnslaughtCareerEditor.UiTests.csproj --filter "Name~BinaryPatch"
