source_file	source_function	classification	va	structural_status	evidence_status	authority_status	finding_code	finding_detail
BattleEngine.cpp	CBattleEngine::Init	SOURCE_EXACT	0x00404dd0	PASS	PASS	PASS	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::~dtor	SOURCE_ANALOG	0x00405f60	PASS	FAIL	PASS	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	ANALOG_EVIDENCE_PATH_MISSING: SOURCE_ANALOG has no evidence_path | ANALOG_REASON_EVIDENCE_WEAK: no cited bounded reason explains the source-to-retail analogy
BattleEngine.cpp	CBattleEngine::Shutdown	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::Activate	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::Deactivate	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::GetMaxLife	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::GetRenderPos	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::GetRenderOrientation	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::CalculatePitch	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::SetCollisionShape	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::MassiveHackPutUsInRightMesh	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::GetAltitudeAboveGround	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::HandleLocks	SOURCE_ANALOG	0x00406560	PASS	FAIL	PASS	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	ANALOG_EVIDENCE_PATH_MISSING: SOURCE_ANALOG has no evidence_path | ANALOG_REASON_EVIDENCE_WEAK: no cited bounded reason explains the source-to-retail analogy
BattleEngine.cpp	CBattleEngine::GetClosestLockableUnit	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::StartLock	SOURCE_ANALOG	0x00406fc0	PASS	FAIL	PASS	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	ANALOG_EVIDENCE_PATH_MISSING: SOURCE_ANALOG has no evidence_path | ANALOG_REASON_EVIDENCE_WEAK: no cited bounded reason explains the source-to-retail analogy
BattleEngine.cpp	CBattleEngine::CountLocks	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::FireLock	SOURCE_ANALOG	0x00407060	PASS	PASS	PASS	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::FiredAt	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::LockHit	SOURCE_ANALOG	0x00407140	PASS	PASS	PASS	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::Locked	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::GetCurrentTarget	SOURCE_ANALOG	0x004071b0	PASS	PASS	PASS	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::DisplayLock	SOURCE_ANALOG	0x00407310	PASS	FAIL	PASS	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	ANALOG_EVIDENCE_PATH_MISSING: SOURCE_ANALOG has no evidence_path | ANALOG_REASON_EVIDENCE_WEAK: no cited bounded reason explains the source-to-retail analogy
BattleEngine.cpp	CBattleEngine::LocksFinished	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::Hit	SOURCE_ANALOG	0x00407350	PASS	PASS	PASS	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::Gravity	SOURCE_ANALOG	0x004074d0	PASS	PASS	PASS	OK	No row-level finding.
BattleEngine.cpp	CBattleEngine::AddShockShake	NO_MATCH_FOUND		PASS	PASS_SHARED_METHOD	NOT_APPLICABLE	OK	No row-level finding.
